,agenda_name,agenda_id,agenda_url
113,과세자료의 제출 및 관리에 관한 법률 일부개정법률안,2203464,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_C2Z4B0S8I3P0O1X8M2F7W1U1Y9U6C3
114,조세특례제한법 일부개정법률안,2203522,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2F4Y1G2K1Y0O1I4L3G7H4M3V5J8K5
115,주세법 일부개정법률안,2203472,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_H2E4P0N9Y0P2X0O9N0D1Z5K3X1X1K1
116,교통·에너지·환경세법 일부개정법률안,2203465,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_W2H4M0Q8P3T0Z1R8P3S1E0V2O7F8C7
117,개별소비세법 일부개정법률안,2203397,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_C2A4B0A8H3R0V0R9F2L0E3Z7P8F7S5
118,부가가치세법 일부개정법률안,2203528,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_D2P4A1P2G1X0F1K4Z3B6B5A4D7L7C5
119,상속세 및 증여세법 일부개정법률안,2203525,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_X2O4L0L9E0U2G1R6D4J8E2F0U7Q1H1
120,법인세법 일부개정법률안,2203526,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_S2A4K0W9K0Z2U1D6I4P8Q3H0W4H8G7
121,소득세법 일부개정법률안,2203518,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_G2R4Q0P9H0N2Q1J6P4Z3K5D5G4E3D0
122,국세기본법 일부개정법률안,2203527,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_X2Q4U0V9S0P2M1L6U4A8H4M0K7Z1S0
123,내란범죄혐의자 신속체포요구 결의안,2206269,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2W4G1C2I1C0R1P3U2S5V3V8X2C2O4
124,위헌적 비상계엄 선포를 통한 내란 행위의 진상규명을 위한 특별검사의 수사요구안,2206226,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_F2Y4Z1N2G0Y5Q1A4M1O0P4N2I4P3N1
125,소방공무원 보건안전 및 복지 기본법 일부개정법률안(대안),2206323,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_C2W4J1R1U2W7W2Q0A3Z9N4Y7S1R4P4
126,소방기본법 일부개정법률안,2202998,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_B2Z4Z0X8W1X2E1F1D1E6D3B3B5J2K3
127,총포·도검·화약류 등의 안전관리에 관한 법률 일부개정법률안(대안),2206321,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2H4F1T1Y2E7Q2F0P3C9W1C8U6F3M2
128,경비업법 일부개정법률안(대안),2206331,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_P2Z4N1A1J2R7P2M0I3C7V5T3Z6J1X0
129,경찰공무원법 일부개정법률안,2202548,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2D4B0C7A0B5Z1H3I4G8G3F2G0E3M1
130,도로교통법 일부개정법률안(대안),2205467,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2U4G0Y9L2W4N2S1A2G4Z3P4T6T7J6
131,공직선거법 일부개정법률안(대안),2206328,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2H4L1L1G2N7C2C0J3Y7B2Z8E4W1M7
132,자연재해대책법 일부개정법률안,2201199,http://likms.assembly.go.kr/bill/billDetail.do?billId=ARC_K2O4L0L6Y2B8Y2Z1Q1T1G3O6Y2D7G6
133,재난 및 안전관리 기본법 일부개정법률안(대안),2206320,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_O2J4B1Z1R2M7N2F0B3J6Z2K1Z2F3W7
134,지방공무원법 일부개정법률안(대안),2206319,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_W2Y4N1C1P2I7R2C0Y3V5L2D8R8H1K3
135,국가공무원법 일부개정법률안(대안),2206327,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_H2M4A1A1J2P7L2H0N3N4N5K3G9Q6Z2
136,공무원 재해보상법 일부개정법률안(대안),2206330,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_R2T4O1S1H2I7K2Q0S3G3H4A7J4Y6A3
137,지방공기업법 일부개정법률안,2202819,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_Z2A4Y0G8H1F2F1E1F1D5D1L8J8K3I0
138,전자정부법 일부개정법률안(대안),2206324,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2Q4E1I1O2J7U2U0P3P3Z1J1O4M5X7
139,새마을금고법 일부개정법률안(대안),2206325,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_E2F4J1V1W2O7B2Y0A3V2Z0O6E4M0T2
140,여수ㆍ순천 10ㆍ19사건 진상규명 및 희생자 명예회복에 관한 특별법 일부개정법률안(대안),2206322,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2B4O1Y1P2S7V2O0Y3Q2X3H8N5T3E0
141,방위산업 발전 및 지원에 관한 법률 일부개정법률안,2201864,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2R4Z0A6Z0Z7X0W9W5E9F5D2E6C5B4
142,병역법 일부개정법률안(대안),2206316,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_U2W4U1V1R2W7H1O1Z2M7G2S9O1W4D5
143,군인사법 일부개정법률안(대안),2205419,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_T2N4M0O9E2I4I1I7N3D1V1N8V0N0S3
144,국방정보화 기반조성 및 국방정보자원관리에 관한 법률 일부개정법률안,2204097,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_O2M4V0T7U3T1R1A6Y0X9W0W6M5K0J4
145,군인의 지위 및 복무에 관한 기본법 일부개정법률안,2203735,http://likms.assembly.go.kr/bill/billDetail.do?billId=PRC_X2F4F0E9E0D5D1C0C4K8I4J9H6I4G4
